Sample,Group,Group name
A1,2,Naive/WT
A2,2,Naive/WT
A5,2,Naive/WT
A6,2,Naive/WT
A1_plus,1,APC
A2_plus,1,APC
A5_plus,1,APC
A6_plus,1,APC
EN15d,3,r-spondin
EN4d,3,r-spondin
EN_M,3,r-spondin
EN_F,3,r-spondin
LIPO,2,Naive/WT
NAIVE,2,Naive/WT
NAIVE_F,3,r-spondin
